2016-01-21 00:06:35 101.226.168.245 diff     www.danmaku.us Acfun2.HomePage "http://www.danmaku.us/Acfun2/HomePage?action=diff&diffstart=10&minor=y&source=y" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:23:53 208.115.111.75  edit     danmaku.us DMR.B7yojbcvdlNo "" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
2016-01-21 01:23:54 208.115.111.75  edit     danmaku.us DMR.B7UDGKHaxVWc "" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
2016-01-21 01:23:55 208.115.111.75  edit     danmaku.us DMR.B34389747 "" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
2016-01-21 01:23:59 182.118.20.212  diff     direct.danmaku.us Acfun2.1137 "http://direct.danmaku.us/Acfun2/1137?action=diff&minor=n&source=n" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:24:02 208.115.111.75  browse   danmaku.us Acfun2.1047 "" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
2016-01-21 01:25:14 182.118.22.211  browse   direct.danmaku.us Acfun2.1155 "http://direct.danmaku.us/Acfun2/1155" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:25:28 182.118.20.217  print    direct.danmaku.us Acfun2.1007 "http://direct.danmaku.us/Acfun2/1007?action=print" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:25:33 208.115.111.75  browse   danmaku.us PmWiki.Requirements "" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
2016-01-21 01:26:08 101.226.167.212 browse   direct.danmaku.us Acfun2.1199 "http://direct.danmaku.us/Acfun2/1199?Player=acold" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:26:18 208.115.111.75  browse   danmaku.us Acfun2.1015 "" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
2016-01-21 01:26:18 101.226.169.223 diff     direct.danmaku.us Acfun2.1208 "http://direct.danmaku.us/Acfun2/1208?action=diff&minor=n&source=y" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:27:07 101.226.168.224 diff     direct.danmaku.us Main.WikiSandbox2 "http://direct.danmaku.us/Main/WikiSandbox2?action=diff" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:27:13 101.226.166.224 edit     direct.danmaku.us Bilibili2.1109 "http://direct.danmaku.us/Bilibili2/1109?action=edit" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:28:37 182.118.25.213  diff     direct.danmaku.us Acfun2.1107 "http://direct.danmaku.us/Acfun2/1107?action=diff" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:30:02 101.226.166.245 edit     www.danmaku.us Acfun2.1024 "http://www.danmaku.us/Acfun2/1024?action=edit" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:32:35 101.226.168.219 edit     www.danmaku.us Acfun2.1122 "http://www.danmaku.us/Acfun2/1122?action=edit&preview=y&restore=diff:1281502272:1281502272:" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:32:48 101.226.166.253 edit     www.danmaku.us Acfun2.1119 "http://www.danmaku.us/Acfun2/1119?action=edit&preview=y&restore=diff:1281502087:1281502087:" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:33:43 182.118.20.173  diff     direct.danmaku.us Bilibili2.1053 "http://direct.danmaku.us/Bilibili2/1053?action=diff&minor=n&source=n" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:35:05 101.226.168.248 edit     www.danmaku.us Acfun2.1055 "http://www.danmaku.us/Acfun2/1055?action=edit" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:35:56 182.118.22.228  login    direct.danmaku.us Main.DMTB "http://direct.danmaku.us/Main/DMTB?action=login" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:36:35 101.226.168.196 browse   www.danmaku.us Acfun2.1140 "http://www.danmaku.us/Acfun2/1140" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:36:57 182.118.25.207  edit     direct.danmaku.us Acfun2.1157 "http://direct.danmaku.us/Acfun2/1157?action=edit&preview=y&restore=diff:1281507085:1281507073:" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:38:09 182.118.25.211  diff     www.danmaku.us Acfun2.1055 "http://www.danmaku.us/Acfun2/1055?action=diff" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:38:40 101.226.166.205 diff     www.danmaku.us Acfun2.HomePage "http://www.danmaku.us/Acfun2/HomePage?action=diff&diffstart=10&minor=y&source=y" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:39:11 101.226.167.198 diff     www.danmaku.us Bilibili2.1042 "http://www.danmaku.us/Bilibili2/1042?action=diff" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:40:52 101.226.169.195 edit     www.danmaku.us Main.HomePage "http://www.danmaku.us/Main/HomePage?action=edit&preview=y&restore=diff:1341842487:1341842464:" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:41:09 182.118.20.235  diff     direct.danmaku.us Acfun2.HomePage "http://direct.danmaku.us/Acfun2/HomePage?action=diff&diffstart=-1&minor=y&source=y" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:41:09 182.118.20.237  browse   direct.danmaku.us Bilibili2.1115 "http://direct.danmaku.us/Bilibili2/1115" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:42:53 182.118.21.248  browse   www.danmaku.us Acfun2.1136 "http://www.danmaku.us/Acfun2/1136?Player=acold" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:43:43 182.118.20.173  diff     www.danmaku.us Acfun2.1019 "http://www.danmaku.us/Acfun2/1019?action=diff" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:43:56 101.226.166.249 diff     www.danmaku.us Main.HomePage "http://www.danmaku.us/Main/HomePage?action=diff&minor=y&source=y" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:45:04 101.226.166.252 edit     www.danmaku.us Bilibili2.1056 "http://www.danmaku.us/Bilibili2/1056?action=edit" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:45:09 101.226.167.206 login    www.danmaku.us Acfun2.1051 "http://www.danmaku.us/Acfun2/1051?action=login" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:45:11 101.226.166.196 login    www.danmaku.us Bilibili2.1099 "http://www.danmaku.us/Bilibili2/1099?action=login" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:45:51 101.226.168.246 diff     www.danmaku.us Main.WikiSandbox3 "http://www.danmaku.us/Main/WikiSandbox3?action=diff" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:45:54 182.118.21.210  browse   www.danmaku.us Acfun2.1196 "http://www.danmaku.us/Acfun2/1196" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:46:35 101.226.167.229 browse   www.danmaku.us Acfun2.1083 "http://www.danmaku.us/Acfun2/1083?Player=mukio" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:46:35 101.226.167.228 browse   www.danmaku.us Acfun2.1098 "http://www.danmaku.us/Acfun2/1098?Player=acnew" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:47:35 101.226.167.247 login    direct.danmaku.us Acfun2.1097 "http://direct.danmaku.us/Acfun2/1097?action=login" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:47:42 101.226.167.231 edit     www.danmaku.us Bilibili2.1093 "http://www.danmaku.us/Bilibili2/1093?action=edit" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:48:59 182.118.25.215  diff     www.danmaku.us Acfun2.1182 "http://www.danmaku.us/Acfun2/1182?action=diff&minor=y&source=n" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:49:01 101.226.166.221 browse   danmaku.us Acfun2.1051 "http://danmaku.us/Acfun2/1051" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:49:30 182.118.20.174  browse   www.danmaku.us Acfun2.1161 "http://www.danmaku.us/Acfun2/1161?Player=acold09" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:51:19 101.226.168.239 login    www.danmaku.us Bilibili2.1000 "http://www.danmaku.us/Bilibili2/1000?action=login" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:53:09 101.226.166.226 browse   danmaku.us Acfun2.1118 "http://danmaku.us/Acfun2/1118?Player=acold09" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:54:00 182.118.25.229  diff     www.danmaku.us Acfun2.1196 "http://www.danmaku.us/Acfun2/1196?action=diff&minor=n&source=n" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:54:12 182.118.25.212  browse   www.danmaku.us Acfun2.1193 "http://www.danmaku.us/Acfun2/1193?Player=acold09" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:54:23 101.226.167.215 print    danmaku.us Acfun2.1125 "http://danmaku.us/Acfun2/1125?action=print" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:55:18 101.226.168.201 edit     danmaku.us Acfun2.1143 "http://danmaku.us/Acfun2/1143?action=edit&preview=y&restore=diff:1281504611:1281504611:" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:56:04 101.226.166.207 browse   danmaku.us Acfun2.1204 "http://danmaku.us/Acfun2/1204?Player=acold" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:57:37 182.118.20.235  login    www.danmaku.us Acfun2.1164 "http://www.danmaku.us/Acfun2/1164?action=login" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:58:26 101.226.169.218 diff     danmaku.us Bilibili2.1010 "http://danmaku.us/Bilibili2/1010?action=diff" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 02:00:08 123.68.204.250  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; GWX:QUALIFIED)"
