2015-07-03 01:05:43 67.213.118.194  browse   danmaku.us . "" "=Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/10.0.648.204 Safari/534.16"
2015-07-03 04:46:56 61.64.181.206   browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; BTRS124759; InfoPath.1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)"
2015-07-03 04:46:56 61.64.181.206   browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; BTRS124759; InfoPath.1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)"
2015-07-03 04:48:25 46.229.164.101  print    danmaku.us Acfun2.1050 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 04:49:58 220.181.108.77  browse   danmaku.us . "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2015-07-03 04:55:54 46.229.164.100  browse   danmaku.us Acfun2.1059 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 05:03:33 46.229.164.101  browse   danmaku.us Acfun2.1120 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 05:20:45 46.229.164.100  browse   danmaku.us Bilibili2.1028 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 05:29:21 42.120.161.109  browse   danmaku.us AcfunN1.HomePage "" "Mozilla/5.0 (Linux; U; Android 4.0.2; en-us; Galaxy Nexus Build/ICL53F) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
2015-07-03 05:39:07 220.181.108.158 browse   www.danmaku.us Bilibili2.1051 "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2015-07-03 05:40:12 46.229.164.100  browse   danmaku.us Acfun2.1089 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 05:49:05 46.229.164.100  login    danmaku.us Acfun2.1085 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 05:52:08 66.249.65.158   browse   danmaku.us Acfun2.1155 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-07-03 05:56:37 123.125.71.76   browse   danmaku.us Acfun2.1136 "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2015-07-03 05:57:51 46.229.164.102  edit     danmaku.us Main.HomePage "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 06:04:29 46.229.164.98   print    danmaku.us Acfun2.1002 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 06:10:10 46.229.164.102  login    danmaku.us Main.Retake "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 06:14:59 46.229.164.102  login    danmaku.us Acfun2.1163 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 06:19:34 46.229.164.98   edit     danmaku.us Acfun2.1060 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 06:25:03 46.229.164.98   browse   danmaku.us Acfun2.1052 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 06:29:34 180.76.15.158   browse   www.danmaku.us Site.Search "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2015-07-03 06:29:59 46.229.164.102  diff     danmaku.us Acfun2.1084 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 06:33:21 180.76.15.135   browse   danmaku.us Twodland1.1003 "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2015-07-03 06:35:04 46.229.164.99   browse   danmaku.us Acfun2.1128 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 06:40:09 46.229.164.102  edit     danmaku.us Site.SideBar "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 06:45:59 46.229.164.102  print    danmaku.us Bilibili2.1065 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 06:50:25 46.229.164.98   browse   danmaku.us Acfun2.1101 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 06:53:06 66.249.65.186   browse   danmaku.us Bilibili2.1087 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-07-03 06:55:33 46.229.164.102  diff     danmaku.us Category.黑屏 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 07:01:12 46.229.164.99   browse   danmaku.us Acfun2.1025 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 07:03:16 220.181.108.141 browse   danmaku.us Acfun2.1057 "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2015-07-03 07:06:19 46.229.164.99   browse   danmaku.us Acfun2.1052 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 07:07:55 66.249.65.186   browse   danmaku.us Acfun2.1041 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-07-03 07:11:44 46.229.164.99   browse   danmaku.us Acfun2.1132 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 07:18:16 46.229.164.101  login    danmaku.us Bilibili2.1104 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 07:25:00 46.229.164.99   browse   danmaku.us Acfun2.1111 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 07:33:15 46.229.164.99   edit     danmaku.us Acfun2.1101 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 07:54:42 223.73.218.104  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)"
2015-07-03 07:54:43 223.73.218.104  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)"
2015-07-03 08:12:21 46.229.164.98   browse   danmaku.us Acfun2.1058 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 08:13:12 61.64.181.206   browse   danmaku.us Main.HomePage "http://danmaku.us/Main/N1c0" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; BTRS124759; InfoPath.1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)"
2015-07-03 08:13:12 61.64.181.206   browse   danmaku.us Main.HomePage "http://danmaku.us/Main/N1c0" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; BTRS124759; InfoPath.1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)"
2015-07-03 08:16:17 113.9.220.240   browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0;  Embedded Web Browser from: http://bsalsa.com/; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E)"
2015-07-03 08:16:17 113.9.220.240   browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0;  Embedded Web Browser from: http://bsalsa.com/; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E)"
2015-07-03 08:21:27 46.229.164.98   print    danmaku.us AcfunN1.1001 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 08:23:50 66.249.65.151   browse   danmaku.us Acfun2.1145 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-07-03 08:27:23 180.76.15.152   browse   danmaku.us Bilibili2.1042 "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2015-07-03 08:29:19 46.229.164.98   browse   danmaku.us Acfun2.1155 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 08:29:54 111.199.72.151  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E)"
2015-07-03 08:29:54 111.199.72.151  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E)"
2015-07-03 08:35:18 46.229.164.98   print    danmaku.us Acfun2.1051 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 08:38:18 128.54.210.168  browse   danmaku.us . "http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=0CB4QFjAA&url=http%3A%2F%2Fdanmaku.us%2F&ei=c9mVVdTgJIzToASgj5HoCw&usg=AFQjCNFNna9faBWHpVchue8slZ2ETpqVVA&sig2=OZAr5QVnGegN5jVP8AqR4g&bvm=bv.96952980,d.cGU" "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0"
2015-07-03 08:38:22 128.54.210.168  browse   danmaku.us Bilibili2.HomePage "http://danmaku.us/" "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0"
2015-07-03 08:39:27 46.229.164.100  browse   danmaku.us Acfun2.1122 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 08:42:21 180.76.15.157   browse   danmaku.us . "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2015-07-03 08:43:42 46.229.164.99   browse   danmaku.us Acfun2.1058 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 08:46:32 46.229.164.98   edit     danmaku.us Site.SideBar "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 08:50:45 46.229.164.98   diff     danmaku.us Bilibili2.1113 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 08:55:37 46.229.164.100  browse   danmaku.us Acfun2.1047 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 08:58:19 46.229.164.99   edit     danmaku.us Bilibili2.1099 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 09:02:11 46.229.164.99   browse   danmaku.us Acfun2.1008 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 09:06:40 46.229.164.98   browse   danmaku.us Acfun2.1016 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 09:11:06 46.229.164.99   diff     danmaku.us Acfun2.1032 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 09:12:22 180.76.15.148   browse   danmaku.us Queue.RecentChanges "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2015-07-03 09:14:15 46.229.164.100  login    danmaku.us Acfun2.1130 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 09:18:26 46.229.164.101  browse   danmaku.us Acfun2.1161 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 09:22:16 46.229.164.98   browse   danmaku.us Bilibili2.1055 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 09:26:17 46.229.164.98   print    danmaku.us Bilibili2.1036 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 09:29:58 46.229.164.102  diff     danmaku.us Bilibili2.1072 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 09:31:57 218.242.10.178  browse   danmaku.us . "http://www.baidu.com/link?url=NNuydPZXz0TwecwN3PZMNePbwwZDhL3l_ZlKCcjumbG&wd=&eqid=ce9e620a0002906f000000035595e601" "Mozilla/5.0 (Windows NT 6.1; rv:33.0) Gecko/20100101 Firefox/33.0"
